Wavelength (nm)	Reflectance (%)
447.47	109.6896
447.60	107.5028
447.73	106.5456
447.86	108.2973
447.99	108.6110
448.13	109.8004
448.26	109.9043
448.39	107.4302
448.52	107.8417
448.65	108.3212
448.78	105.3045
448.91	108.1116
449.04	108.5189
449.17	107.5423
449.30	108.8782
449.43	107.9396
449.56	106.3532
449.69	110.4056
449.82	109.0358
449.95	106.5290
450.08	109.3163
450.21	110.3309
450.34	106.7863
450.47	109.1282
450.60	112.0007
450.73	113.5369
450.87	112.1596
451.00	107.2290
451.13	107.9832
451.26	106.1151
451.39	104.0940
451.52	104.4325
451.65	110.2049
451.78	111.0541
451.91	108.7604
452.04	106.6693
452.17	108.9786
452.30	109.3186
452.43	104.9984
452.56	109.5934
452.69	109.1147
452.82	107.0613
452.95	108.3493
453.08	107.6477
453.21	106.7743
453.34	108.9479
453.47	105.8455
453.60	103.4435
453.73	106.0995
453.86	104.3651
453.99	105.1188
454.12	107.5001
454.25	109.1365
454.38	108.3234
454.52	109.0315
454.65	109.4893
454.78	109.0765
454.91	108.1974
455.04	109.8303
455.17	106.7952
455.30	106.7379
455.43	109.3298
455.56	107.7593
455.69	105.3558
455.82	109.2717
455.95	108.7619
456.08	107.6571
456.21	109.3799
456.34	109.9160
456.47	109.2811
456.60	109.2602
456.73	107.0924
456.86	106.7688
456.99	107.7651
457.12	105.3991
457.25	104.1307
457.38	104.9873
457.51	105.0773
457.64	104.7416
457.77	106.5720
457.90	107.3884
458.03	107.8313
458.16	106.8343
458.29	107.2851
458.42	107.8720
458.55	108.7071
458.68	107.0126
458.81	104.0358
458.94	105.8369
459.07	107.0943
459.20	105.8420
459.33	104.6324
459.46	107.6168
459.59	107.6837
459.72	104.3591
459.85	103.7220
459.98	106.7451
460.11	108.4647
460.24	104.6525
460.37	105.7437
460.50	107.7576
460.63	107.9405
460.76	105.2320
460.89	106.3263
461.02	107.8658
461.15	107.4117
461.28	104.5202
461.41	106.8322
461.54	107.7664
461.67	105.8972
461.80	105.9404
461.93	107.0996
462.06	106.7692
462.19	107.8063
462.32	107.0270
462.45	107.0339
462.58	107.8369
462.71	108.4007
462.84	106.5688
462.97	107.1097
463.10	106.0673
463.23	106.2419
463.36	106.6565
463.49	106.5909
463.62	107.1260
463.75	107.8239
463.88	109.6072
464.01	105.3906
464.14	106.5249
464.27	107.7511
464.40	106.7415
464.53	104.9317
464.66	106.7571
464.79	107.0496
464.92	106.0959
465.05	106.5061
465.18	106.7319
465.31	108.2265
465.44	108.0617
465.57	105.2945
465.70	106.0839
465.83	107.7659
465.96	106.1311
466.09	104.9991
466.22	108.4039
466.35	108.5844
466.48	107.0678
466.61	107.1642
466.74	106.6441
466.87	105.5563
467.00	104.0978
467.13	105.0708
467.26	106.9183
467.39	108.0207
467.52	106.6472
467.65	107.7860
467.78	106.6290
467.91	105.1436
468.04	104.8131
468.17	107.0891
468.30	107.1784
468.43	106.7236
468.56	106.2262
468.69	107.7579
468.82	107.4790
468.95	107.5941
469.08	108.8746
469.21	108.3621
469.34	106.0959
469.47	107.0262
469.60	106.7889
469.73	105.4980
469.86	108.3498
469.99	109.6518
470.11	107.5125
470.24	107.2244
470.37	108.4764
470.50	107.8372
470.63	106.7945
470.76	106.3111
470.89	107.8265
471.02	108.1143
471.15	105.6529
471.28	105.0146
471.41	107.0224
471.54	107.1083
471.67	104.8979
471.80	105.8099
471.93	107.4911
472.06	108.1456
472.19	105.0960
472.32	105.5749
472.45	106.5881
472.58	106.1399
472.71	105.3119
472.84	107.4792
472.97	107.0937
473.10	107.5770
473.23	106.3423
473.36	105.5016
473.49	104.9005
473.62	105.3611
473.74	104.8568
473.87	106.7144
474.00	106.9062
474.13	106.4665
474.26	107.0722
474.39	106.8952
474.52	105.5296
474.65	106.8992
474.78	107.8771
