Wavelength (nm)	Coefficient
446,55	1,56391226134039
446,68	1,5628623982081
446,81	1,56187039099216
446,94	1,56099043289213
447,07	1,56003742232844
447,2	1,55916647575398
447,33	1,5581951777233
447,46	1,55722355204018
447,59	1,55630362765224
447,72	1,5554275691058
447,85	1,55458765911916
447,98	1,55376896507443
448,11	1,55295549570315
448,24	1,55211032418426
448,37	1,55116776724627
448,5	1,55029442730602
448,64	1,54947152841875
448,77	1,54871762348231
448,9	1,54801971511991
449,03	1,54729933510808
449,16	1,546543179593
449,29	1,5457887208218
449,42	1,54503717483271
449,55	1,54433561438936
449,68	1,54375085086749
449,81	1,54325158946757
449,94	1,54275977873082
450,07	1,54223274205866
450,2	1,54179863608437
450,33	1,54133782927063
450,46	1,54098466706716
450,59	1,54068457346495
450,72	1,5404821095057
450,85	1,54027593670235
450,98	1,53995957540773
451,12	1,5395948331203
451,25	1,5392266603539
451,38	1,53888381010932
451,51	1,53854895223484
451,64	1,5381238630621
451,77	1,5376853657174
451,9	1,5371718362662
452,03	1,536634176031
452,16	1,53599616890236
452,29	1,53537070153861
452,42	1,53475073571058
452,55	1,53402456005692
452,68	1,5332537966806
452,81	1,53243439860017
452,94	1,53163194421069
453,07	1,53092113382861
453,2	1,53019415774883
453,33	1,52953202552675
453,46	1,52888516477133
453,59	1,52829287216826
453,72	1,52773998073366
453,85	1,52721362633065
453,98	1,52672141216516
454,12	1,5263050363488
454,25	1,5259255096933
454,38	1,52553776456236
454,51	1,52503877632561
454,64	1,52458127979909
454,77	1,52412512139007
454,9	1,52361509394807
455,03	1,52309799009878
455,16	1,52255798339489
455,29	1,52204716099566
455,42	1,52156433957544
455,55	1,52104387814759
455,68	1,52049926202447
455,81	1,51993139705595
455,94	1,51938454716269
456,07	1,51883723493889
456,2	1,51824162057083
456,33	1,51768515589312
456,46	1,51711831530279
456,59	1,51648000204592
456,72	1,5158216533886
456,85	1,51515441057569
456,98	1,51448369672243
457,11	1,5138333982133
457,24	1,51314394824785
457,37	1,51243477236976
457,5	1,51164920447784
457,63	1,51081285573515
457,76	1,50997834626031
457,89	1,50919036357985
458,02	1,50849823121259
458,15	1,5078403828853
458,28	1,50716043099639
458,41	1,50642849254305
458,55	1,50568637790005
458,68	1,50502250256293
458,81	1,50436525626741
458,94	1,50372793195348
459,07	1,50312010719721
459,2	1,50251408528222
459,33	1,50184027459209
459,46	1,50109654998438
459,59	1,50035981831872
459,72	1,49961765623145
459,85	1,49890743623828
459,98	1,49813710273894
460,11	1,49730480217085
460,24	1,49647211657503
460,37	1,49564166875784
460,5	1,49482402693248
460,63	1,49401038336228
460,76	1,49318970270496
460,89	1,49236104226312
461,02	1,49150750859973
461,15	1,49067441326011
461,28	1,48985260955625
461,41	1,48909494480899
461,54	1,48839194302641
461,67	1,48768437371952
461,8	1,48701014986587
461,93	1,48631197323853
462,06	1,48558118712171
462,19	1,48488953976606
462,32	1,48419746726931
462,45	1,48350588374883
462,58	1,48280465819549
462,71	1,48206305391838
462,84	1,48128136493359
462,97	1,48044934928461
463,1	1,47960920660533
463,23	1,47875088253458
463,36	1,47788003667708
463,49	1,47700473708684
463,62	1,47606421359913
463,75	1,47512063514026
463,88	1,47411614164894
464,01	1,47312294550862
464,14	1,47215904507466
464,27	1,47116591725517
464,4	1,47021500402349
464,53	1,46926160227355
464,66	1,46830696298867
464,79	1,4673555933042
464,92	1,46640767044134
465,05	1,46548771014146
465,18	1,46453554877219
465,31	1,46364373400376
465,44	1,46272252220616
465,57	1,46180444252225
465,7	1,46098095764006
465,83	1,46014980714945
465,96	1,45933540262023
466,09	1,45852899638021
466,22	1,45772790709084
466,35	1,45695379016422
466,48	1,45619590222383
466,61	1,45550479134963
466,74	1,45483420133546
466,87	1,45416918067956
467	1,45349693590093
467,13	1,45278651132474
467,26	1,45206887758607
467,39	1,45136448323174
467,52	1,45065577662664
467,65	1,44997388740867
467,78	1,44930727734869
467,91	1,44863216340193
468,04	1,44796223789329
468,17	1,44729084716013
468,3	1,44667383877612
468,43	1,44611042015692
468,56	1,44553642373841
468,69	1,44495304143238
468,82	1,44436809221466
468,95	1,44379386794284
469,08	1,44322163941414
